id,GPStime,centralFreq,peakFreq,snr,ifo,bandwidth,duration
OucMCzLgD4,1135157366.109,2484.708,10.501,8.213,L1,4957.131348,2.5
0hsVNnreLo,1130387298.938,64.973,64.915,7.822,L1,4.36192,0.625
owJeAxk5kd,1132909314.721,541.388,89.676,18.254,H1,1030.16626,0.5
cGM4bAXJlU,1128238588.268,662.101,80.667,209.269,L1,1260.201172,1.563
kLfTEprRPX,1132903262.296,2965.068,211.477,142.523,H1,5894.235352,1.25
gsTCspqxhh,1132669450.34,2387.637,262.065,19.943,H1,4706.952637,0.219
johTRoafAN,1132328446.286,1401.594,111.128,185.898,H1,2779.825195,1.5
4HSuI2T7ED,1137023407.625,1916.024,10.362,21.94,L1,3819.762939,6
L7aZQ6xsc5,1133217665.19,365.148,111.128,7.873,H1,645.632141,0.031
CcNsv0SIU2,1134823451.878,2973.173,498.708,83.548,L1,5878.025879,0.5
rqqdxUE3Xk,1136898572.313,3196.447,11.139,48.262,L1,6380.609375,6.818
pQiELkUGV5,1132434934.818,2278.806,1880.112,8.399,L1,2504.79834,0.358
zgPZqVoxH7,1130865540.407,310.084,170.654,17.2,L1,490.155029,0.125
nMZU7Jvkf3,1136433822.652,365.044,211.477,17.562,H1,645.838928,0.188
tbECTkoy3o,1135333840.875,2194.916,18.322,10.473,H1,4360.859863,1.75
gtfGc5wf2k,1132620007.441,3576.461,664.495,11.858,L1,7142.79834,1.192
FuunbaGSQo,1135821888.875,2410.886,10.179,26.199,L1,4811.85791,3.25
ip3uEEyl5o,1128669982.982,204.324,111.062,11.655,L1,344.648926,0.313
RbdHI5n6aR,1135526525.313,1547.489,10.771,11.568,L1,3079.754395,2.75
MWUeRpCzI8,1127047273.821,207.974,99.067,15.704,H1,337.349854,0.188
sofn2KSfEl,1134482327.188,1707.328,21.507,15.83,H1,3385.683838,2.25
cIb4LRGlLH,1132266125.99,1930.033,262.065,47.379,H1,3791.745361,0.75
rhaBcyscTi,1135135007.795,360.947,72.366,28.76,L1,677.404907,0.668
gdV6DYhWrb,1128540765.119,70.893,53.485,12.899,H1,77.785088,0.5
9iZNTl1SgT,1136383851.586,1359.649,438.344,8.862,L1,1895.899414,0.434
pZ8oFqhCkV,1134988035.929,1232.988,137.711,37.808,L1,2410.844482,0.5
71W1i4g7hw,1128508240.177,154.501,121.663,12.637,H1,190.45929,0.125
vSCZer8U3p,1131949939.534,1934.119,324.754,19.041,H1,3783.57373,0.094
00EkrPlETF,1132505052.749,3234.508,262.065,1212.121,H1,6456.72998,6.25
3bmLh2kjHj,1128218403.466,300.035,121.663,80.458,L1,536.069153,0.75
vSay8JzZmX,1132035667.563,3982.484,36.464,18.261,L1,7935.99707,5.668
6NsvYn43jl,1133105973.625,2056.019,11.127,11.132,L1,4104.037598,3.625
qOHgzrUMR6,1133685834.313,2339.695,31.263,8.783,H1,4640.705078,2
5TKw4J1zJ1,1129985372.688,2387.637,137.711,13.989,H1,4706.952637,0.285
oAfYLrVjen,1132923493.176,843.689,402.439,14.47,H1,1557.363403,0.063
F3Km9jYdnj,1128781890.299,208.239,190.779,9.4,H1,196.908356,0.258
rws1DnFd4k,1137057429.375,3021.375,10.362,43.493,H1,6032.836426,6.75
ChCvb5WRGM,1132801079.949,560.739,262.065,13.901,H1,991.464783,0.047
8hQJ2jEZ7W,1136286098.375,2552.794,11.127,32.175,L1,5090.363281,5.25
kV9O8jo69u,1130520392.259,2131.067,137.711,7.804,H1,4091.402344,1.161
UwoZweLxf6,1134215881.64,2652.091,211.477,111.233,H1,5268.28125,1
VCUdjyttUI,1135964012.257,739.31,211.477,13.931,H1,1373.704346,0.08
sikRndEgTS,1135626969.844,3405.884,15.513,12.559,H1,6792.901855,3
nkpwY8fGeA,1134915796.334,2919.091,72.366,49.353,H1,5814.803223,2
likj6Oc0JD,1128321480.456,662.101,183.495,118.289,H1,1260.201172,0.938
LpGOT78lO6,1135356542.414,3876.353,27.9,3420.818,H1,7742.791016,16.688
hcCyhYnA56,1128421755.723,190.587,134.965,11.205,L1,240.128479,0.063
wCEgEEmssM,1132060477.529,87.773,72.366,11.971,H1,131.055557,0.25
fL5skwZZka,1128421905.27,182.187,134.965,8.715,L1,227.876022,0.039
YK9PvQq6yA,1134213418.795,1927.559,1897.973,7.572,L1,2744.794678,0.275
pJxmOCXEYk,1128222099.644,444.386,149.414,39.31,L1,824.772766,0.344
MAHyaNfNjw,1129373382.963,2414.796,1086.759,8.742,L1,2997.465088,0.782
SpJIqzUnLC,1136276711.688,1265.802,10.771,13.076,L1,2516.381104,3
zaxhNEruB3,1128404075.285,194.109,120.558,10.143,L1,157.183563,0.055
u7xAmEhMZT,1129301888.359,250.93,225.349,12.507,H1,423.261902,0.031
qcY7u5yYzR,1133164152.597,365.044,137.711,10.64,H1,645.838928,0.25
UvBkassTM4,1136402107.859,294.803,12.239,12.801,H1,574.381348,1.75
swdy32h0Fp,1133000541.847,3487.09,262.065,24.531,H1,6955.314941,12.25
HyA9R9eaqj,1131397646.425,197.402,111.128,13.672,H1,328.227631,0.313
rL7WYG7w0G,1127812684.303,990.461,225.349,38.604,H1,1916.922485,0.156
cwPkRt3R8p,1136282839.348,1924.075,38.027,8.556,H1,3803.660645,0.096
K3x5oMm5LK,1131387814.604,3205.54,111.128,145.981,L1,6382.10791,2.25
lIQWzXyhRH,1136461749.156,3130.857,31.546,2587.646,H1,6251.800293,6.518
lGuZYqPZpH,1136405226.859,3459.717,17.422,25.996,H1,6904.210449,3.142
zuM1OH89MV,1129050343.203,62.156,60.799,13.04,H1,27.78573,0.563
AxzQ5RgQZo,1127425560.955,2145.089,1810.524,9.968,L1,3536.879395,0.043
U71wZ3OP7t,1130301500.625,3981.086,20.677,39.634,L1,7938.793457,4.25
3kgirJpwKp,1133782473.915,1091.855,137.711,10.072,H1,2170.018799,1.521
qFO7VPcZq8,1136037252.188,54.63,51.736,13.021,H1,90.394821,3.75
8GRGUFCk2r,1135520581.668,348.698,47.124,197.132,H1,678.531067,2.5
Uhf4vgXnj1,1132068210.653,3992.322,111.128,18.293,L1,7916.322754,0.558
lbk3VFRdoB,1133692856.727,2372.557,13.013,338.989,H1,4737.113281,16.75
1WsoxCBoC7,1137221782.232,1683,1527.022,11.73,L1,747.613464,0.059
aGytgrGnhJ,1128421778.777,183.844,134.965,8.221,L1,241.700104,0.063
yWI9i8aOWL,1130258194.938,2400.637,64.915,11.206,L1,4680.952637,1.313
SaPjfTKzVy,1127248657.844,90.745,65.52,14.168,H1,84.963173,2.438
tDB843pCEF,1134007570.768,940.208,211.477,51.249,H1,1780.827515,0.375
0Wkf0k7vaj,1134003624.231,663.572,170.654,156.577,H1,1291.24292,1
fCrkt4qiBc,1132100124.984,14.194,10.501,17.819,L1,16.1022,1.25
7fQlXR2lUr,1135942248.594,1274.705,51.479,10.05,H1,2495.668213,1.75
QrIrfONC3W,1134817404.164,3978.313,13.013,21.695,L1,7944.340332,3.75
sSMfUaME4R,1132498306.688,213.261,111.128,9.279,H1,296.509125,0.047
IRgXusNemu,1134555756.748,90.433,89.676,11.325,H1,125.734306,0.25
KR5wBCwo3N,1136632453.125,2892.735,28.787,26.787,H1,5744.004883,4.563
RPMTuzD9yC,1135987329.941,2379.532,38.027,16.954,H1,4723.162109,1.023
AY6AA2NIoH,1136636142.705,3403.646,324.754,2931.265,H1,6797.37793,16
tgqGxySrQm,1131339046.188,18.607,18.434,8.262,L1,4.36059,1
igtJp8wmCy,1132248797.582,2379.938,211.477,9.598,H1,4560.219727,0.123
PTyKsvKoLn,1134455999.375,13.535,10.737,11.8,L1,8.83215,3.25
7LUXYXInD5,1131759764.688,2584.612,65.531,8.595,L1,5048.902344,0.625
KgRypInXF5,1127496629.228,207.974,121.663,11.428,H1,337.349854,0.281
OuIXxDCLzo,1130415039.965,3458.982,47.124,1043.91,L1,6905.679688,6
tfQlCdeSwr,1134527534.88,235.12,111.128,32.584,H1,425.75058,0.547
PBr0SDgOJl,1134497227.375,1598.875,32.552,14.847,H1,3161.8479,2
OaQo4bVFhI,1130883929.205,90.674,89.676,11.104,H1,126.215431,0.078
b3Tjl19tFw,1127605590.731,247.28,99.067,75.137,L1,430.560944,1.125
YnYff2c1M8,1135865774.753,440.05,262.065,22.282,H1,824.968018,0.25
yNA8c3b1gX,1128540610.893,1748.486,276.75,3951.55,H1,3432.9729,13.656
sWfvGE8uvb,1129802224.36,1602.349,2025.31,14.774,H1,3116.153564,0.047
jytuO80Frx,1133371059.129,3027.387,38.027,79.049,H1,6031.39502,2
noupbxIxqY,1128331853.592,250.93,80.667,7.583,H1,423.261902,0.027
sV3eoXQPMc,1128337095.558,1212.732,183.495,40.238,H1,2361.463379,0.516
GbssMXAjId,1131313992.688,3979.958,49.347,21.02,H1,7941.049805,6.913
wAI7KcbDm4,1130073289.922,66.508,59.708,12.515,H1,28.09918,0.75
lV0kKjazor,1128667462.991,204.324,121.663,15.406,L1,344.648926,0.5
svLZEcL6Yi,1133061102.101,317.86,211.477,11.316,H1,474.604523,0.031
aLGiLclBNq,1134633192.875,2314.154,10.362,30.001,L1,4616.022949,4.312
4mKDnWXa9t,1129752776.813,1521.968,38.348,46.679,L1,2979.936523,7.625
iwWcIIHKkd,1136398850.266,486.566,19.599,8.594,H1,954.266479,0.438
aCx4K9mBu3,1132707030.398,3026.081,262.065,33.738,H1,6034.006348,0.563
fFjciOAyBA,1132406881.615,3939.832,211.477,5531.772,H1,7871.664551,15.859
Rbs2LmCAxq,1135618452.875,3977.241,21.272,90.243,L1,7946.48291,6.861
vlknJCQnDf,1131108202.824,1875.309,47.124,19.294,L1,3714.716553,0.75
lDamVhP0DX,1132674951.875,3977.241,20.289,957.395,L1,7946.48291,10.25
gHwAUfjV4d,1133684512.625,3309.171,31.943,12.015,H1,6582.02002,1.5
62fAYeHRv0,1134872282.672,2530.154,13.768,14.222,H1,5045.083008,2
oNxIbhNfYl,1128270479.187,998.593,225.349,29.05,H1,1900.659546,0.188
BZOvAhSzES,1135833939.919,361.062,170.654,40.285,L1,653.803711,0.375
BU6krGODeL,1130332848.563,66.326,64.915,8.823,L1,12.71818,0.5
RQmp81go1T,1135777666.205,1122.85,1252.026,7.585,L1,318.301239,0.25
exq5qGdeds,1129014936.35,103.809,99.672,7.572,L1,62.0354,0.16
wJRpj9rWAW,1131944223.132,1501.686,111.128,139.062,L1,2967.470215,1.25
g7V8K2fsvt,1126634317.44,177.478,149.414,8.975,H1,258.43045,0.133
NkDSBmUEW2,1133190951.495,206.987,111.128,9.994,H1,309.057831,0.063
hZPPzBHZoj,1137222767.561,3098.258,1527.022,12.372,L1,3383.06543,0.055
O0Zr0Gp9Z0,1133069806.445,2727.208,13.013,17.853,L1,5439.192383,1.469
kaUvur6B90,1132400359.217,134.788,89.676,10.88,H1,201.255417,0.063
ibaJznrTpv,1136899709.813,3830.775,10.416,36.874,L1,7649.265137,4.75
izsxcYOtZo,1135823099.32,83.197,16.125,79.077,H1,158.393341,4
8FRSP28AM2,1135309168.938,2061.262,20.388,13.342,H1,4093.552002,2.25
YmJPRp2s6N,1128668182.979,204.324,121.663,24.181,H1,344.648926,0.5
plLUiykJbZ,1129802390.538,1897.339,2025.31,22.99,H1,3706.134521,0.109
AG6h5vR1p0,1131750288.745,2633.656,170.654,241.595,L1,5243.932617,1.75
RL3SHIXN7e,1128815782.652,892.702,43.551,86.245,L1,1721.404175,1.75
uZw9NIH9EG,1135516373.305,3979.047,13.013,12.951,L1,7942.870605,2.019
Jht0RqSvzI,1129801501.931,1972.764,2025.31,16.835,H1,3881.52832,0.188
RNNn6bUbET,1133090094.607,545.316,262.065,37.326,H1,1022.31134,0.563
bD4s1VJKHG,1131723202.313,2327.434,65.531,8.665,L1,4533.925781,1.25
7icpPKkzoS,1132226374.322,2086.961,211.477,62.337,H1,4132.348145,0.625
K4lUik19zL,1127688297.711,1972.764,41.94,1033.287,L1,3881.52832,9.004
BBEzV1fjSW,1133589548.539,3577.001,13.013,24.623,L1,7141.717285,3.33
uTBF9bmas4,1126598431.228,364.822,149.414,30.986,H1,665.643311,0.25
3sd26tGFDA,1129221708.813,1112.585,32.232,20.669,H1,2161.169922,1.75
LBg5caB4cE,1136397717.618,1031.46,137.711,15.917,H1,1958.004639,0.285
fZ7Znv3T0m,1137023805.688,2528.786,11.139,34.14,L1,5042.429688,5.285
oM12lluDCD,1129695442.859,1233.19,60.799,12.675,H1,2387.781006,0.563
uR2QBqgljK,1128934084.759,665.75,121.663,31.489,H1,1252.9021,0.313
UsY2TjUsog,1129771145.266,68.829,60.799,13.641,H1,41.13155,0.563
Yskix5Z6b6,1129339330.963,989.636,1118.685,9.109,L1,417.113983,0.322
CqwkONrPtd,1136406487.767,3794.754,137.711,18.515,H1,7577.223633,2.5
dqPeMdqF68,1133669685.313,2631.617,11.139,8.884,L1,5248.009766,1.5
UZSemJ5ZRp,1128818357.741,131.31,99.067,8.43,H1,144.076462,0.031
rskDB1phbE,1136278292.875,3867.873,10.93,15.587,L1,7720.521484,4.592
N1kAm9Ytrb,1134076503.852,54.062,45.301,18.779,H1,52.991261,0.563
6DWbQovYuR,1133964288.129,3589.809,30.687,19.534,L1,7150.647461,1.5
6QnFHB5g7z,1129156253.87,378.457,276.75,10.578,H1,638.371704,0.125
yPocIEy4As,1134314585.375,3177.262,18.651,9.55,L1,6318.271484,2.75
tIt50Z6gOP,1132397717.859,2441.006,10.501,10.107,L1,4869.726563,1.125
TM4J6TzcsK,1136411596.203,2924.835,10.501,10.587,H1,5837.385742,1.5
IJuKXaUSNv,1126878887.609,64.347,60.799,11.864,H1,50.095501,0.656
RZNaFDh2G4,1132722381.438,1270.399,65.531,8.805,L1,2415.214111,0.645
f6BaSERctS,1131564263.875,2924.835,10.179,17.032,L1,5837.385742,5
4gJt4h8b4x,1136038339.815,245.164,111.128,9.739,H1,405.663574,0.023
ohzrHZrb90,1128421577.73,167.791,134.965,8.894,L1,73.16227,0.047
jNiA9Nma76,1128421593.152,218.811,134.965,9.281,L1,285.525391,0.047
tg25MBcbcW,1133074739.701,3330.549,58.396,13.619,H1,6625.197266,0.926
bxBxVHkT2L,1134398099.778,241.078,137.711,13.785,H1,413.835175,0.188
QJcBNtXTtV,1134624750.383,3171.271,16.125,19.256,L1,6330.255371,4.25
TNKbSPywJ1,1134556572.68,2441.006,13.013,17.761,L1,4869.726563,1.5
IXGiXO9ayf,1130544595.64,3575.93,170.654,211.677,L1,7143.859863,2.25
DU2RImDWCb,1136458015.141,11.107,12.239,7.741,H1,6.9904,0.625
NCDoFavPh6,1128872537.677,257.08,236.873,10.726,H1,410.962769,0.734
P5RFSNuJch,1128837448.471,1972.764,1220.204,13.685,L1,3881.52832,0.608
TGgi3m5hmD,1131165065.24,3977.241,211.477,1180.643,L1,7946.48291,5.813
3f0cvR7wJk,1130645274.132,3581.173,111.128,136.493,H1,7133.374512,1.885
mdKBcJFU2w,1133674200.29,663.572,170.654,257.333,H1,1291.24292,1.75
Bpbxkb1Rfm,1133978926.196,3459.717,111.128,12.949,H1,6904.210449,2.75
v2ZHZcmR1a,1129802140.489,1972.764,2025.31,20.873,H1,3881.52832,0.125
sF47jOlPED,1128421675.316,182.187,134.965,9.146,L1,227.876022,0.172
OnyHbKVIdG,1135186100.672,3979.047,15.488,67.93,L1,7942.870605,5.025
u6C2yT76ou,1136376639.313,2341.363,58.502,9.323,L1,4593.359863,1.625
wiW7Uqz0RX,1132534386.219,3188.405,10.88,14.171,L1,6361.586914,2.25
8o696An3fR,1135191656.113,2999.313,47.124,107.116,H1,5975.248047,2.25
bMQWwQDm9H,1129824032.969,1521.968,39.634,116.421,L1,2979.936523,7.813
7jODOw8LTv,1136391023.879,693.237,907.819,9.209,L1,726.469666,0.316
nq0ySxLYQS,1126558858.814,1972.764,80.667,924.092,L1,3881.52832,4.75
T6nt6yJXlJ,1129286932.714,990.461,225.349,173.708,H1,1916.922485,1.125
pfrvnFIrsB,1136035692.688,1448.895,45.321,15.114,H1,2875.88208,2.375
V64XIq7RL8,1135919991.639,3265.197,324.754,105.591,H1,6507.015625,1.625
RRxnUO3fOg,1134438802.447,458.77,402.439,11.729,H1,787.527283,0.125
HsqaLUCB8A,1128347157.192,364.822,121.663,59.701,H1,665.643311,0.625
jPL31Q1yXN,1132769054.713,172.094,89.676,14.138,H1,239.272064,0.25
DfJJP4tR1T,1132313568.824,440.05,262.065,25.259,H1,824.968018,0.25
kyBzzKI7Ud,1129733379.37,1228.915,417.4,57.524,L1,2393.82959,0.375
s4A71rGSL8,1133945248.569,2244.578,211.477,28.616,L1,4444.666504,1.398
Yjp6hiSRAM,1128432690.973,1009.025,134.965,8.121,L1,1879.795532,0.172
lt79RQHw37,1129712741.413,125.16,121.663,7.924,L1,80.840691,0.188
wCyJ6Jh2Nb,1128432679.629,158.524,134.965,8.033,L1,69.029388,0.039
V37oOc6CBq,1129985634.313,1393.762,11.913,20.54,L1,2779.523926,2.594
cNpbk5QWWr,1128421681.738,182.187,134.965,9.629,L1,227.876022,0.125
EBEcmmpsDZ,1130504634.974,162.509,170.654,7.72,H1,258.441864,0.094
0M4zfXleVR,1132335468.435,1305.707,137.711,127.744,H1,2575.512451,1.25
443aryuo1W,1126892033.528,313.67,149.414,15.891,H1,508.797546,0.094
mDL6O0LrSt,1134906106.574,843.689,402.439,13.158,H1,1557.363403,0.094
WeOXr1Vxwb,1133264372.125,675.763,262.065,45.55,H1,1266.861816,0.375
e7oqKl98XJ,1130737089.718,357.765,170.654,39.095,H1,660.397888,0.5
C8lUQREXtq,1136997298.438,1265.986,42.02,8.048,H1,2450.811523,2.125
JiwUpUk7dC,1131944005.138,3996.407,170.654,19.03,L1,7908.150879,0.331
2toYl24hmt,1129795795.923,1972.764,225.349,1830.295,H1,3881.52832,5.906
xdn23QCOHF,1127208604.849,809.473,121.663,95.828,L1,1554.946655,0.875
FTVLlwQeSI,1133096910.169,1937.506,211.477,104.099,H1,3839.109863,1
9JWqwZnnCa,1134116060.507,447.433,111.128,8.936,H1,810.202271,0.156
lFZuQBLtHq,1134491494.625,3659.172,31.943,10.457,H1,7285.489746,2
MA3Q8CfEDC,1136455666.909,201.924,111.128,12.384,H1,319.184143,0.094
ERi8I6r0gb,1128448268.29,662.101,225.349,20.032,H1,1260.201172,0.188
bJOZ0wzzhr,1132137511.972,357.765,111.128,20.07,L1,660.397888,0.25
aw4VksnWwh,1131166428.531,3585.638,10.88,15.086,L1,7158.990723,2.387
PFuADMd5UW,1127316756.429,550.231,512.608,9.572,H1,1003.935974,0.341
wxHIQSGrUE,1126409985.719,1563.55,38.519,386.639,L1,3063.098877,2.841
wgQz9Eq3OP,1126884220.824,960.81,683.811,13.557,H1,1803.075806,3.889
ciS6zL396K,1134367681.106,1256.083,111.128,19.07,H1,2443.845947,0.395
r1T0JI0z6W,1127910386.486,637.526,171.213,7.67,L1,1096.263672,1.723
uYhQB9n7QZ,1128823276.72,444.386,121.663,12.467,L1,824.772766,0.188
VkzxgrDyOr,1136732478.656,3977.241,31.546,11461.234,H1,7946.48291,17.344
hxxIYZzW33,1131059085.317,3903.846,170.654,79.082,H1,7795.407715,6
NsL60wtAYv,1132532009.99,2652.091,262.065,86.19,H1,5268.28125,0.875
py8v9eHVvk,1129776001.922,56.045,60.799,12.839,H1,33.492142,0.531
VwauCLOZGY,1128501938.549,117.674,65.684,8.773,H1,171.348068,0.125
Ehvz6zaqjR,1130680206.723,3420.459,213.896,9.453,H1,6596.670898,0.363
qn6ICkl4mU,1133302704.688,31.882,31.263,20.048,H1,46.266571,2.5
0cJEcxX6Ct,1128421662.129,210.067,134.965,8.881,L1,172.116394,0.102
x8cTzJJ58v,1126796396.89,1891.203,225.349,1297.395,H1,3718.40625,5.25
4liS6Owbm6,1131725113.375,16.936,18.634,8.313,L1,4.90019,1.75
IC2cAjgzVl,1127980582.289,220.76,188.52,8.393,L1,171.866852,3.16
yuTmfekTFL,1133127985.594,113.951,82.224,9.359,L1,69.040878,0.891
9EPAgj4Axc,1135374361.316,1084.034,47.124,66.54,H1,2144.689209,2.25
1ZiBLwkoSA,1135829969.916,440.05,211.477,27.804,H1,824.968018,0.313
XI6BUYq5u7,1134570668.887,554.096,627.847,7.572,L1,212.202133,0.16
SV5CYlfvq1,1127442741.634,1216.381,183.495,54.346,H1,2354.164307,0.219
Oa2G7crFto,1135790580.457,3979.958,402.439,89.793,H1,7941.049805,2.25
6MdE1b26oI,1128421868.746,177.831,283.722,7.58,L1,236.588196,0.055
P5LFJ0lEfg,1129712003.842,1572.168,171.213,12.049,L1,2998.75293,24.529
06KLOH7J6x,1130880555.745,256.501,137.711,14.101,H1,382.988556,0.125
I2cH2Ea1En,1134566353.61,3326.32,111.128,12.071,L1,6547.722656,0.116
vNPBgQuHKZ,1136389210.75,2314.444,14.436,11.65,H1,4610.022949,2
rR7l2ShKC0,1134920770.742,2764.734,16.125,43.154,H1,5517.183105,5.5
ZtPQDRqABb,1133115659.188,2575.555,10.416,9.026,L1,5135.88623,2
nrDlpKi6Ea,1137071648.492,565.797,505.137,8.195,H1,244.334808,0.984
MzcdMIqASK,1127563944.82,364.822,225.349,35.593,L1,665.643311,0.313
2a0PlzK3VR,1132756451.785,452.496,211.477,11.988,H1,800.075928,0.156
13EjW2v7JK,1130680786.184,915.301,38.027,35.626,H1,1807.2229,1.75
FFEZ5oHaGS,1136496355.781,3876.945,31.546,3660.141,H1,7741.605469,11.188
WYwh2TaGOs,1136038115.313,2831.051,49.347,14.224,H1,5639.023438,2.25
zPgMtOKfbn,1127095248.984,68.829,59.089,12.992,H1,41.13155,0.563
dcSPbP11mZ,1134827529.859,1849.765,12.239,9.168,H1,3684.306396,3.25
5OK22m8nhC,1135960896.11,206.987,137.711,10.423,H1,309.057831,0.039
wzb10xhg5g,1134923071.945,2813.772,16.125,52.433,H1,5617.629883,3.25
XL3cbvXg2O,1129622333.351,542.099,121.663,17.908,H1,1020.198975,0.313
NYLnkYmrv8,1132257142.153,537.211,170.654,111.357,H1,1038.520874,1
XlInGeN1Lm,1134483146.813,3659.934,29.113,9.516,H1,7283.96582,1.75
XJ9LkQ5xgX,1134270138.753,191.152,111.128,23.946,H1,340.72876,0.313
pyT9VCUsfC,1127997788.802,117.674,99.067,11.364,L1,171.348068,0.094
rgxBEMihUv,1132630460.306,241.078,170.654,26.409,H1,413.835175,0.188
k9yFax9Ok2,1128781932.654,243.217,190.779,10.388,H1,266.863831,0.262
FVYsJkNsAM,1126806391.659,1212.732,417.4,63.352,H1,2361.463379,1.125
QxN9ZFJxDM,1135049657.922,3056.459,19.599,12.479,H1,6089.539063,1.5
